Year,Quarter,1 Mo,2 Mo,3 Mo,4 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr
2018,Q4,2.255409836065574,2.3333333333333335,2.3567213114754098,,2.5027868852459014,2.6681967213114755,2.8027868852459017,2.8442622950819674,2.8836065573770493,2.9665573770491807,3.0411475409836064,3.1765573770491806,3.2706557377049177
2019,Q1,2.42672131147541,2.432950819672131,2.4385245901639343,,2.5050819672131146,2.5396721311475408,2.485081967213115,2.4554098360655736,2.4649180327868856,2.550327868852459,2.652950819672131,2.8524590163934427,3.0118032786885247
2019,Q2,2.350793650793651,2.3580952380952382,2.354761904761905,,2.3550793650793653,2.258888888888889,2.127936507936508,2.0882539682539685,2.121111111111111,2.2249206349206347,2.338888888888889,2.5898412698412696,2.781428571428571
2019,Q3,2.0715624999999998,2.05546875,2.02609375,,1.97046875,1.845,1.6859375,1.63265625,1.62859375,1.7096875,1.79796875,2.083125,2.2871875
2019,Q4,1.6230645161290322,1.6169354838709677,1.6075806451612904,,1.6135483870967744,1.5758064516129033,1.5911290322580647,1.5896774193548386,1.6133870967741937,1.7129032258064516,1.7919354838709676,2.0943548387096773,2.2543548387096775
2020,Q1,1.1338709677419354,1.1301612903225808,1.104032258064516,,1.0975806451612902,1.067741935483871,1.0814516129032257,1.0933870967741937,1.1448387096774195,1.2785483870967742,1.365,1.7000000000000002,1.870806451612903
2020,Q2,0.11333333333333334,0.13126984126984126,0.14222222222222222,,0.16793650793650794,0.1742857142857143,0.19365079365079366,0.24079365079365078,0.3574603174603175,0.542063492063492,0.6876190476190476,1.153968253968254,1.3807936507936507
2020,Q3,0.0928125,0.1046875,0.1134375,,0.12671875,0.13468750000000002,0.1409375,0.16453125,0.27171875,0.46234375,0.650625,1.14453125,1.36296875
2020,Q4,0.08306451612903226,0.08806451612903225,0.0929032258064516,,0.10274193548387096,0.11451612903225807,0.14967741935483872,0.1964516129032258,0.36951612903225806,0.6156451612903227,0.864516129032258,1.4040322580645161,1.619032258064516
2021,Q1,0.0440983606557377,0.04704918032786885,0.05114754098360656,,0.06622950819672131,0.08245901639344262,0.13213114754098362,0.2478688524590164,0.618032786885246,1.0014754098360656,1.3359016393442622,1.9367213114754098,2.0865573770491803
